row_type,route,canonical_route,calculator_key,cluster_id,source_files,source_role,in_public_navigation,in_cluster_navigation,in_route_ownership,in_sitemap,has_generated_html,generated_file,duplicate_group,duplicate_status,missing_generated_html,notes
route_inventory,/calculators/finance-calculators/time-to-savings-goal-calculator/,/finance-calculators/time-to-savings-goal-calculator/,finance-calculators/time-to-savings-goal,,public/calculators/finance-calculators/time-to-savings-goal-calculator/index.html,,false,false,false,false,true,public/calculators/finance-calculators/time-to-savings-goal-calculator/index.html,/finance-calculators/time-to-savings-goal-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/finance/savings-goal/,/finance/savings-goal/,finance/savings-goal,,public/calculators/finance/savings-goal/index.html,,false,false,false,false,true,public/calculators/finance/savings-goal/index.html,,unique,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/loan-calculators/buy-to-let-mortgage-calculator/,/loan-calculators/buy-to-let-mortgage-calculator/,loan-calculators/buy-to-let,,public/calculators/loan-calculators/buy-to-let-mortgage-calculator/index.html,,false,false,false,false,true,public/calculators/loan-calculators/buy-to-let-mortgage-calculator/index.html,/loan-calculators/buy-to-let-mortgage-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/loan-calculators/how-much-can-i-borrow/,/loan-calculators/how-much-can-i-borrow/,loan-calculators/how-much-can-borrow,,public/calculators/loan-calculators/how-much-can-i-borrow/index.html,,false,false,false,false,true,public/calculators/loan-calculators/how-much-can-i-borrow/index.html,/loan-calculators/how-much-can-i-borrow/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/loan-calculators/interest-rate-change-calculator/,/loan-calculators/interest-rate-change-calculator/,loan-calculators/interest-rate-change,,public/calculators/loan-calculators/interest-rate-change-calculator/index.html,,false,false,false,false,true,public/calculators/loan-calculators/interest-rate-change-calculator/index.html,/loan-calculators/interest-rate-change-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/loan-calculators/ltv-calculator/,/loan-calculators/ltv-calculator/,loan-calculators/loan-to-value,,public/calculators/loan-calculators/ltv-calculator/index.html,,false,false,false,false,true,public/calculators/loan-calculators/ltv-calculator/index.html,/loan-calculators/ltv-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/loan-calculators/mortgage-calculator/,/loan-calculators/mortgage-calculator/,loan-calculators/home-loan,,public/calculators/loan-calculators/mortgage-calculator/index.html,,false,false,false,false,true,public/calculators/loan-calculators/mortgage-calculator/index.html,/loan-calculators/mortgage-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/loan-calculators/offset-mortgage-calculator/,/loan-calculators/offset-mortgage-calculator/,loan-calculators/offset-calculator,,public/calculators/loan-calculators/offset-mortgage-calculator/index.html,,false,false,false,false,true,public/calculators/loan-calculators/offset-mortgage-calculator/index.html,/loan-calculators/offset-mortgage-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/loan-calculators/personal-loan-calculator/,/loan-calculators/personal-loan-calculator/,loan-calculators/personal-loan,,public/calculators/loan-calculators/personal-loan-calculator/index.html,,false,false,false,false,true,public/calculators/loan-calculators/personal-loan-calculator/index.html,/loan-calculators/personal-loan-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/loan-calculators/remortgage-calculator/,/loan-calculators/remortgage-calculator/,loan-calculators/remortgage-switching,,public/calculators/loan-calculators/remortgage-calculator/index.html,,false,false,false,false,true,public/calculators/loan-calculators/remortgage-calculator/index.html,/loan-calculators/remortgage-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/algebra/factoring/,/math/algebra/factoring/,math/algebra/factoring,,public/calculators/math/algebra/factoring/index.html,,false,false,false,false,true,public/calculators/math/algebra/factoring/index.html,/math/algebra/factoring/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/algebra/polynomial-operations/,/math/algebra/polynomial-operations/,math/algebra/polynomial,,public/calculators/math/algebra/polynomial-operations/index.html,,false,false,false,false,true,public/calculators/math/algebra/polynomial-operations/index.html,/math/algebra/polynomial-operations/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/algebra/quadratic-equation/,/math/algebra/quadratic-equation/,math/algebra/quadratic,,public/calculators/math/algebra/quadratic-equation/index.html,,false,false,false,false,true,public/calculators/math/algebra/quadratic-equation/index.html,/math/algebra/quadratic-equation/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/algebra/slope-distance/,/math/algebra/slope-distance/,math/algebra/slope-distance,,public/calculators/math/algebra/slope-distance/index.html,,false,false,false,false,true,public/calculators/math/algebra/slope-distance/index.html,/math/algebra/slope-distance/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/algebra/system-of-equations/,/math/algebra/system-of-equations/,math/algebra/system-equations,,public/calculators/math/algebra/system-of-equations/index.html,,false,false,false,false,true,public/calculators/math/algebra/system-of-equations/index.html,/math/algebra/system-of-equations/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/basic/,/math/basic/,math/basic,,public/calculators/math/basic/index.html,,false,false,false,false,true,public/calculators/math/basic/index.html,/math/basic/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/calculus/critical-points/,/math/calculus/critical-points/,math/calculus/critical-points,,public/calculators/math/calculus/critical-points/index.html,,false,false,false,false,true,public/calculators/math/calculus/critical-points/index.html,/math/calculus/critical-points/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/calculus/derivative/,/math/calculus/derivative/,math/calculus/derivative,,public/calculators/math/calculus/derivative/index.html,,false,false,false,false,true,public/calculators/math/calculus/derivative/index.html,/math/calculus/derivative/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/calculus/integral/,/math/calculus/integral/,math/calculus/integral,,public/calculators/math/calculus/integral/index.html,,false,false,false,false,true,public/calculators/math/calculus/integral/index.html,/math/calculus/integral/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/calculus/limit/,/math/calculus/limit/,math/calculus/limit,,public/calculators/math/calculus/limit/index.html,,false,false,false,false,true,public/calculators/math/calculus/limit/index.html,/math/calculus/limit/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/calculus/series-convergence/,/math/calculus/series-convergence/,math/calculus/series,,public/calculators/math/calculus/series-convergence/index.html,,false,false,false,false,true,public/calculators/math/calculus/series-convergence/index.html,/math/calculus/series-convergence/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/confidence-interval/,/math/confidence-interval/,math/confidence-interval,,public/calculators/math/confidence-interval/index.html,,false,false,false,false,true,public/calculators/math/confidence-interval/index.html,/math/confidence-interval/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/fraction-calculator/,/math/fraction-calculator/,math/fraction-calculator,,public/calculators/math/fraction-calculator/index.html,,false,false,false,false,true,public/calculators/math/fraction-calculator/index.html,/math/fraction-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/log/common-log/,/math/log/common-log/,math/log/common-log,,public/calculators/math/log/common-log/index.html,,false,false,false,false,true,public/calculators/math/log/common-log/index.html,/math/log/common-log/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/log/exponential-equations/,/math/log/exponential-equations/,math/log/exponential-equations,,public/calculators/math/log/exponential-equations/index.html,,false,false,false,false,true,public/calculators/math/log/exponential-equations/index.html,/math/log/exponential-equations/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/log/log-properties/,/math/log/log-properties/,math/log/log-properties,,public/calculators/math/log/log-properties/index.html,,false,false,false,false,true,public/calculators/math/log/log-properties/index.html,/math/log/log-properties/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/log/log-scale/,/math/log/log-scale/,math/log/log-scale,,public/calculators/math/log/log-scale/index.html,,false,false,false,false,true,public/calculators/math/log/log-scale/index.html,/math/log/log-scale/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/log/natural-log/,/math/log/natural-log/,math/log/natural-log,,public/calculators/math/log/natural-log/index.html,,false,false,false,false,true,public/calculators/math/log/natural-log/index.html,/math/log/natural-log/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/mean-median-mode-range/,/math/mean-median-mode-range/,math/mean-median-mode-range,,public/calculators/math/mean-median-mode-range/index.html,,false,false,false,false,true,public/calculators/math/mean-median-mode-range/index.html,/math/mean-median-mode-range/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/number-sequence/,/math/number-sequence/,math/number-sequence,,public/calculators/math/number-sequence/index.html,,false,false,false,false,true,public/calculators/math/number-sequence/index.html,/math/number-sequence/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/percentage-increase/,/percentage-calculators/percentage-increase-calculator/,math/percentage-increase,,public/calculators/math/percentage-increase/index.html,,false,false,false,false,true,public/calculators/math/percentage-increase/index.html,/percentage-calculators/percentage-increase-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/permutation-combination/,/math/permutation-combination/,math/permutation-combination,,public/calculators/math/permutation-combination/index.html,,false,false,false,false,true,public/calculators/math/permutation-combination/index.html,/math/permutation-combination/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/probability/,/math/probability/,math/probability,,public/calculators/math/probability/index.html,,false,false,false,false,true,public/calculators/math/probability/index.html,/math/probability/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/sample-size/,/math/sample-size/,math/sample-size,,public/calculators/math/sample-size/index.html,,false,false,false,false,true,public/calculators/math/sample-size/index.html,/math/sample-size/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/standard-deviation/,/math/standard-deviation/,math/standard-deviation,,public/calculators/math/standard-deviation/index.html,,false,false,false,false,true,public/calculators/math/standard-deviation/index.html,/math/standard-deviation/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/math/statistics/,/math/statistics/,math/statistics,,public/calculators/math/statistics/index.html,,false,false,false,false,true,public/calculators/math/statistics/index.html,/math/statistics/,shadow-route,false,Legacy or shadow calculator route under /calculators/
